No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
7535,74306-78900,US,LS,40.079099,-104.802889,1300 Dexter St,fort lupton,CO,806211501,Mountain Standard Time,GMT-07:00,America/Denver,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
7536,14436-114804,US,CO,43.479563,-83.968724,2685 Tittabawassee,saginaw,MI,486048217,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,05:30,22:00,05:30,22:00,05:30,21:00
7537,55799-183824,US,LS,43.483322,-83.970879,2772 Tittabawassee Rd,saginaw,MI,48604,Eastern Standard Time,GMT-05:00,America/Detroit,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,20:00
7538,78052-108426,US,LS,43.51302,-83.959972,7400 Bay Rd,saginaw,MI,486049733,Eastern Standard Time,GMT-05:00,America/Detroit,07:30,19:30,07:30,19:30,07:30,19:30,07:30,19:30,07:30,19:30,Closed,Closed,12:00,18:00
7539,51497-277347,US,CO,43.43629,-84.013049,4961 State Street|Suite 100,saginaw,MI,486033892,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,06:00,21:00,06:00,21:00
7540,23156-222525,US,CO,43.624498,-83.893587,4107 Wilder Rd|#2,bay city,MI,487062240,Eastern Standard Time,GMT-05:00,America/Detroit,06:00,21:30,06:00,21:30,06:00,21:30,06:00,21:30,06:00,21:30,06:00,21:30,06:00,21:30
7541,2740-87803,US,CO,43.250475,-83.782424,8615 Main Street,birch run,MI,484158379,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,21:00,07:00,15:00,07:00,15:00,07:00,15:00,05:30,21:00,05:30,21:00,05:30,21:00
7542,10033-99146,US,CO,43.662671,-84.247964,7201 Eastman Avenue|Eastman Shopping Center,midland,MI,486427402,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,21:30,05:30,21:30,05:30,21:30,05:30,21:30,05:30,21:30,05:30,21:30,06:00,20:30
7543,60133-294357,US,CO,42.998571,-84.121153,2275 E. Main St.,owosso,MI,48867,Eastern Standard Time,GMT-05:00,America/Detroit,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00
7544,29348-252925,US,LS,43.379007,-84.666402,328 W Superior St,alma,MI,48801,Eastern Standard Time,GMT-05:00,America/Detroit,06:30,19:00,06:30,19:00,06:30,19:00,06:30,19:00,06:30,19:00,08:00,17:00,08:00,17:00
7545,8874-95315,US,CO,42.98839,-83.740506,3243 Miller Rd,flint,MI,485071000,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,17:00,05:30,17:00,05:30,17:00,05:30,17:00,05:30,17:00,06:00,17:00,06:30,17:00
7546,9650-97875,US,CO,43.018372,-83.635576,3822 E. Court Street|Pro Clean Center,flint,MI,485064110,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,16:00,05:30,16:00,05:30,16:00,05:30,16:00,05:30,16:00,06:00,16:00,06:00,16:00
7547,3927-135287,US,LS,43.035386,-83.537722,8503 Davison Rd,davison,MI,484232116,Eastern Standard Time,GMT-05:00,America/Detroit,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
7548,11728-104638,US,CO,43.611932,-84.735368,5655 East Pickard St,mt. pleasant,MI,488585034,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,05:30,16:00,06:00,16:00,06:00,16:00
7549,51498-277377,US,CO,42.94372,-83.690316,1054 E Hill Road,grand blanc,MI,484394803,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,22:00,05:30,22:00,05:30,22:00,05:30,22:00,05:30,22:00,06:00,22:00,06:00,22:00
7550,76517-99394,US,LS,43.57653,-84.76553,4097 E Blue Grass Rd,mt. pleasant,MI,488587997,Eastern Standard Time,GMT-05:00,America/Detroit,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,20:00
7551,16526-147369,US,LS,43.590468,-84.775732,103 E Preston,mt. pleasant,MI,488583854,Eastern Standard Time,GMT-05:00,America/Detroit,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,10:00,18:00,12:00,18:00
7552,2722-84411,US,CO,42.928564,-83.630915,11353 South Saginaw St,grand blanc,MI,484391268,Eastern Standard Time,GMT-05:00,America/Detroit,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00
7553,14453-122004,US,CO,43.043106,-83.321444,1221 Demille Street,lapeer,MI,484463392,Eastern Standard Time,GMT-05:00,America/Detroit,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,06:00,21:00,06:00,21:00
7554,26921-243047,US,LS,42.814367,-83.705932,1390 N Leroy St,fenton,MI,48340,Eastern Standard Time,GMT-05:00,America/Detroit,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
7555,3926-135290,US,LS,42.793119,-83.737987,18005 Silver Pkwy,fenton,MI,484303421,Eastern Standard Time,GMT-05:00,America/Detroit,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
7556,52284-277381,US,CO,42.789393,-83.74205,3401 Owen Rd Ste 100,fenton,MI,484309688,Eastern Standard Time,GMT-05:00,America/Detroit,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,20:00,06:00,20:00,06:00,19:00
7557,76583-98139,US,LS,42.786934,-83.737973,3255 Owen Rd,fenton,MI,484301755,Eastern Standard Time,GMT-05:00,America/Detroit,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
7558,11667-104566,US,CO,47.531954,-122.19411,1785 44th Avenue,renton,WA,980569000,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,18:00,05:00,18:00,05:00,18:00,05:00,18:00,05:00,18:00,05:00,18:00,05:00,18:00
7559,79348-102110,US,LS,47.541036,-122.225855,8421 S.E. 68th St,mercer island,WA,980405235,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
7560,3310-18667,US,CO,47.54163,-122.225776,8415 SE 68th Street|Suite 100,mercer island,WA,980405248,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00
7561,76859-111805,US,LS,47.496482,-122.200358,1215 Landing Way,renton,WA,980575521,Pacific Standard Time,GMT-08:00,America/Los_Angeles,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00
7562,48922-264104,US,CO,47.484036,-122.216994,68 Rainier Ave S,renton,WA,980572042,Pacific Standard Time,GMT-08:00,America/Los_Angeles,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7563,74349-84924,US,LS,47.520752,-122.268209,9262 Rainier Ave S,seattle,WA,981185570,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
7564,74405-52023,US,LS,47.479965,-122.214765,200 S 3rd St,renton,WA,980572031,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:30,19:00,05:30,19:00,05:30,19:00,05:30,19:00,05:30,19:00,05:30,19:00,05:30,19:00
7565,25971-96225,US,LS,47.477448,-122.21848,365 Renton Center Way SW,renton,WA,980572324,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00
7566,79207-97617,US,LS,47.585106,-122.232881,7823 SE 28th,mercer island,WA,980402902,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
7567,3401-190904,US,CO,47.474126,-122.216124,641 Rainier Ave S,renton,WA,980572410,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:00,20:00,04:00,20:00,04:00,20:00,04:00,20:00,04:00,20:00,04:30,20:00,06:00,20:00
7568,12950-155384,US,LS,47.537471,-122.283071,3900 S Othello St,seattle,WA,981183543,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00
7569,3330-26367,US,CO,47.586396,-122.235256,7695 SE 27th Street,mercer island,WA,980402804,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:30,17:00,05:30,17:00,05:30,17:00,05:30,17:00,05:30,17:00,05:30,16:00,05:30,17:00
7570,374-88,US,CO,47.471484,-122.211462,601 S. Grady Way|#E,renton,WA,980573229,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,18:00,04:30,18:00,04:30,18:00,04:30,18:00,04:30,18:00,05:00,18:00,05:00,18:00
7571,3393-76582,US,CO,47.587011,-122.236899,7620 SE 27th St,mercer island,WA,980402805,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,20:00,04:30,20:00,04:30,20:00,04:30,20:00,04:30,20:00,05:00,20:00,05:30,20:00
7572,11158-99264,US,CO,47.545883,-122.285101,6310 Martin Luther King Jr. Way S,seattle,WA,98118,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,17:00,05:00,17:00,05:00,17:00,05:00,17:00,05:00,17:00,05:30,17:00,05:30,17:00
7573,9319-88089,US,CO,47.485774,-122.272817,13038 Interurban Ave,tukwila,WA,981683313,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:00,00:00,04:00,00:00,04:00,00:00,04:00,00:00,04:00,00:00,04:00,00:00,04:00,00:00
7574,24284-236926,US,LS,47.569072,-122.288336,3820 Rainier Avenue South,seattle,WA,98118,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00
7575,29220-253044,US,CO,47.464983,-122.137359,15221 SE Renton Maple Valley Rd,renton,WA,98058,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,18:30,04:00,18:30,04:00,18:30,04:00,18:30,04:00,19:30,05:00,19:00,05:00,19:00
